GEOID,w,today,scenario,status,saved,redpct
120990019173,1,,,no_transit_either,,
120990033002,1,,,no_transit_either,,
120990038023,1,,,no_transit_either,,
120990046022,2,,,no_transit_either,,
120990047061,1,,,no_transit_either,,
120990052022,1,,,no_transit_either,,
120990058073,1,,,no_transit_either,,
120990059181,1,,,no_transit_either,,
120990059261,1,,,no_transit_either,,
120990060072,1,,,no_transit_either,,
120990070082,1,,,no_transit_either,,
120990077492,1,,,no_transit_either,,
120990077512,1,,,no_transit_either,,
120990077522,1,,,no_transit_either,,
120990077722,1,,,no_transit_either,,
120990077791,1,,,no_transit_either,,
120990078051,1,,,no_transit_either,,
120990078121,1,,,no_transit_either,,
120990078331,1,,,no_transit_either,,
120990080011,1,,,no_transit_either,,
120990080021,1,,,no_transit_either,,
121010302023,1,,,no_transit_either,,
121010310071,1,,,no_transit_either,,
121010310073,1,,,no_transit_either,,
121010311042,1,,,no_transit_either,,
121010317083,1,,,no_transit_either,,
121010318062,2,,,no_transit_either,,
121010322003,1,,,no_transit_either,,
121010328042,1,,,no_transit_either,,
121010329011,1,,,no_transit_either,,
121010329013,1,,,no_transit_either,,
121010329022,1,,,no_transit_either,,
121010330051,1,,,no_transit_either,,
121030226012,1,,,no_transit_either,,
121030227002,1,,,no_transit_either,,
121030245071,1,,,no_transit_either,,
121030250192,1,,,no_transit_either,,
121030251062,1,,,no_transit_either,,
121030251081,1,,,no_transit_either,,
121030251122,1,,,no_transit_either,,
121030251212,1,,,no_transit_either,,
121030252073,1,,,no_transit_either,,
121030264012,1,,,no_transit_either,,
