GEOID,pop,scenario,today
170313006001,1450,79,79
170313006002,1803,78,80
170313007001,2120,79,79
170313007002,1317,81,83
170313007003,1361,80,82
170313008001,1913,78,78
170313008002,2223,80,83
170313009001,1652,80,80
170313009002,1924,78,80
170313009003,977,80,81
170313011001,1232,77,77
170313011002,1091,78,78
170313012001,1180,76,76
170313012002,860,77,77
170313012003,2047,77,77
170313016001,2512,84,85
170313016002,2483,85,87
170313017011,1339,80,82
170313017012,1384,80,82
170313017013,1556,84,86
170313017021,1290,83,85
170313017022,1472,85,87
170313017023,1359,80,82
170313018011,1263,88,
170313018012,2684,86,
170313018021,756,85,88
170313018022,1292,86,87
170313018023,1328,85,89
170313018031,1741,87,
170313018032,2320,86,87
170313018033,1046,,
170313102001,748,69,72
170313102002,840,64,68
170313103001,1767,69,72
170313104001,1375,71,74
170313105001,1399,74,77
170313106001,2049,74,75
170313106002,1556,74,75
170313106003,1893,77,77
170313107001,1700,69,69
170313108001,971,65,65
170313108002,916,66,66
170313108003,2288,69,69
170313109001,1534,69,69
170313109002,1504,69,69
170313109003,1743,69,69
170313201011,3332,61,61
170313201012,75,61,61
170313201013,2856,65,65
170313201014,3269,62,62
170313201021,3911,54,54
170313201022,935,52,52
170313204001,2856,54,54
170313206001,2716,60,60
170313206002,3679,60,60
170313301011,1898,64,73
170313301012,2694,64,65
170313301021,1482,60,60
170313301022,4439,62,62
170313301023,3512,65,66
170313301024,1378,69,70
170313301031,2518,67,68
170313301032,2693,66,68
170313301033,3037,68,68
170313302001,1140,65,65
170313302002,2868,65,65
170313403001,1865,79,79
170313404001,1844,76,76
170313405001,1629,74,74
170313406001,1151,73,73
170313501001,885,74,80
170313501002,1343,68,78
170313504001,1512,76,76
170313510001,517,82,82
170313510002,936,80,81
170313510003,2187,80,82
170313511001,10,83,84
170313511002,2028,81,81
170313514001,1392,76,76
170313515001,134,74,74
170313515002,689,69,69
170313602001,1651,77,83
170313801001,2207,80,84
170313802001,2408,78,79
170313806001,804,73,73
170313806002,1060,75,75
170313806003,1438,76,76
170313806004,645,75,75
170313812001,677,81,81
170313812002,1400,79,79
170313814001,1796,77,77
170313815001,667,77,77
170313817001,18,77,77
170313818001,921,80,80
170313818002,541,78,78
170313819001,519,83,84
170313819002,587,80,80
170313901001,1553,74,83
170313902001,964,79,87
170313902002,919,83,87
170313903001,854,81,85
170313903002,1763,84,86
170313904001,1412,85,88
170313904002,1459,86,88
170313905001,1666,80,86
170313906001,862,73,81
170313906002,1132,81,86
170313907001,1872,75,85
170313907002,1480,75,80
170313907003,3180,78,81
170314003001,1504,80,80
170314004001,1212,82,82
170314004002,783,86,86
170314005001,1217,80,80
170314005002,1155,82,85
170314008001,1397,85,85
170314008002,1781,82,83
170314101001,933,74,81
170314101002,1339,72,81
170314102001,1165,80,85
170314105001,1383,86,87
170314105002,1539,85,86
170314106001,1253,83,88
170314106002,1118,85,87
170314107001,2399,80,87
170314108001,1261,72,83
170314108002,1732,77,85
170314109001,934,73,81
170314109002,693,75,85
170314109003,2043,77,84
170314110001,1330,80,88
170314110002,590,77,86
170314110003,1982,75,84
170314111001,1072,73,84
170314111002,1307,76,87
170314112001,1148,77,85
170314112002,565,80,89
170314201001,1642,85,
170314202001,1781,81,
170314203001,2818,87,
170314204001,1544,87,88
170314205001,950,87,88
170314205002,1103,85,86
170314206001,1419,87,87
170314206002,1105,83,83
170314207001,472,85,86
170314207002,441,,
170314207003,931,89,89
170314207004,556,85,85
170314207005,621,86,86
170314208001,1275,86,87
170314208002,1182,,
170314212001,620,,
170314212002,785,89,89
170314301011,757,88,89
170314301012,1130,87,88
170314301013,863,87,87
170314301014,1341,84,84
170314301021,1161,87,88
170314301022,763,89,
170314301023,1180,,
170314302001,629,85,85
170314302002,638,86,88
170314302003,911,88,
170314302004,1347,,
170314302005,1561,87,89
