shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
X3_SB,42.063026,-87.936072,3
X3_SB,42.052479,-87.912254,4
X3_SB,42.045835,-87.897384,5
X3_SB,42.040943,-87.886505,6
X3_SB,42.040943,-87.886505,7
X3_SB,42.024144,-87.856207,8
X3_SB,42.010275,-87.831616,9
X3_SB,42.002558,-87.818012,10
X3_SB,41.991586,-87.798872,11
X3_SB,41.979783,-87.778058,12
X3_SB,41.971153,-87.762392,13
X3_SB,41.952533,-87.730122,14
X3_SB,41.939571,-87.707253,15
X3_SB,41.928346,-87.68772,16
X3_SB,41.918757,-87.670469,17
X3_SB,41.917096,-87.668152,18
X3_SB,41.910198,-87.663774,19
X3_SB,41.907036,-87.660985,20
X3_SB,41.905727,-87.66047,21
X3_SB,41.903044,-87.660298,22
X3_SB,41.901606,-87.659869,23
X3_SB,41.900265,-87.658753,24
X3_SB,41.899083,-87.65665,25
X3_SB,41.898248,-87.652831,26
X3_SB,41.897434,-87.650192,27
X3_SB,41.896827,-87.648754,28
X3_SB,41.895693,-87.647316,29
X3_SB,41.894247,-87.645837,30
X3_SB,41.890518,-87.642038,31
X3_SB,41.888957,-87.641394,32
X3_SB,41.884432,-87.641273,33
X3_SB,41.877742,-87.641044,34
X3_SB,41.87525,-87.641001,35
X3_SB,41.86978,-87.640785,36
X3_SB,41.868573,-87.64073,37
X3_SB,41.868102,-87.640612,38
X3_SB,41.867759,-87.640322,39
X3_SB,41.867471,-87.639882,40
X3_SB,41.867287,-87.639314,41
X3_SB,41.867255,-87.63897,42
X3_SB,41.867433,-87.627466,43
X3_SB,41.867487,-87.623381,44
X3_SB,41.867583,-87.622813,45
X3_SB,41.867671,-87.622341,46
X3_SB,41.867719,-87.62189,47
X3_SB,41.867711,-87.621547,48
X3_SB,41.867623,-87.621214,49
X3_SB,41.867471,-87.620946,50
X3_SB,41.867239,-87.620678,51
X3_SB,41.866928,-87.62042,52
X3_SB,41.866584,-87.620281,53
X3_SB,41.866105,-87.620174,54
X3_SB,41.865248,-87.620098,55
X3_SB,41.863969,-87.620066,56
X3_SB,41.858502,-87.618198,57
X3_SB,41.851534,-87.61631,58
X3_SB,41.844182,-87.61322,59
X3_SB,41.833918,-87.608886,60
X3_SB,41.824736,-87.602285,61
X3_SB,41.80974,-87.591333,62
X3_SB,41.805902,-87.588587,63
X3_SB,41.802671,-87.587428,64
X3_SB,41.800015,-87.586784,65
X3_SB,41.797328,-87.586827,66
X3_SB,41.79336,-87.587643,67
X3_SB,41.788049,-87.58863,68
X3_SB,41.780241,-87.590475,69
X3_SB,41.773259,-87.592034,70
X3_SB,41.758828,-87.595324,71
X3_SB,41.750856,-87.597213,72
X3_SB,41.74426,-87.598715,73
X3_SB,41.737184,-87.60026,74
X3_SB,41.729465,-87.602148,75
X3_SB,41.72149,-87.603865,76
X3_SB,41.706914,-87.607169,77
X3_SB,41.699673,-87.608929,78
X3_SB,41.692751,-87.610474,79
X3_SB,41.685957,-87.61219,80
X3_SB,41.678301,-87.613652,81
X3_SB,41.659414,-87.617934,82
X3_SB,41.655856,-87.618842,83
X3_SB,41.652297,-87.620044,84
X3_SB,41.646589,-87.623305,85
X3_SB,41.633343,-87.6303,86
X3_SB,41.622533,-87.636051,87
X3_SB,41.609827,-87.643175,88
X4_NB,41.655696,-87.676735,1
X4_NB,41.656593,-87.67519,2
X4_NB,41.662204,-87.66901,3
X4_NB,41.669418,-87.660599,4
X4_NB,41.673296,-87.656178,5
X4_NB,41.673938,-87.654162,6
X4_NB,41.67413,-87.65193,7
X4_NB,41.674098,-87.642145,8
X4_NB,41.674482,-87.631674,9
X4_NB,41.674418,-87.621932,10
X4_NB,41.674418,-87.617726,11
X4_NB,41.674675,-87.615795,12
X4_NB,41.676053,-87.614379,13
X4_NB,41.685957,-87.61219,14
X4_NB,41.692751,-87.610474,15
X4_NB,41.699673,-87.608929,16
X4_NB,41.706914,-87.607169,17
X4_NB,41.72149,-87.603865,18
X4_NB,41.729465,-87.602148,19
X4_NB,41.737184,-87.60026,20
X4_NB,41.74426,-87.598715,21
X4_NB,41.750856,-87.597213,22
X4_NB,41.758828,-87.595324,23
X4_NB,41.773259,-87.592034,24
X4_NB,41.780241,-87.590475,25
X4_NB,41.788049,-87.58863,26
X4_NB,41.79336,-87.587643,27
X4_NB,41.797328,-87.586827,28
X4_NB,41.800015,-87.586784,29
X4_NB,41.802671,-87.587428,30
X4_NB,41.805902,-87.588587,31
X4_NB,41.80974,-87.591333,32
X4_NB,41.824736,-87.602285,33
X4_NB,41.833918,-87.608886,34
X4_NB,41.844182,-87.61322,35
X4_NB,41.851534,-87.61631,36
X4_NB,41.858502,-87.618198,37
X4_NB,41.863969,-87.620066,38
X4_NB,41.865248,-87.620098,39
X4_NB,41.866105,-87.620174,40
X4_NB,41.866398,-87.620222,41
X4_NB,41.866584,-87.620281,42
X4_NB,41.866928,-87.62042,43
X4_NB,41.867239,-87.620678,44
X4_NB,41.867471,-87.620946,45
X4_NB,41.867623,-87.621214,46
X4_NB,41.867711,-87.621547,47
X4_NB,41.867719,-87.62189,48
X4_NB,41.867671,-87.622341,49
X4_NB,41.867583,-87.622813,50
X4_NB,41.867487,-87.623381,51
X4_NB,41.867463,-87.623939,52
X4_NB,41.867433,-87.627466,53
X4_NB,41.867383,-87.631235,54
X4_NB,41.867255,-87.63897,55
X4_NB,41.867287,-87.639314,56
X4_NB,41.867359,-87.639636,57
X4_NB,41.867471,-87.639882,58
X4_NB,41.867599,-87.640097,59
X4_NB,41.867759,-87.640322,60
X4_NB,41.867926,-87.640505,61
X4_NB,41.868102,-87.640612,62
X4_NB,41.868573,-87.64073,63
X4_NB,41.86978,-87.640785,64
X4_NB,41.87525,-87.641001,65
X4_NB,41.877742,-87.641044,66
X4_NB,41.884432,-87.641273,67
X4_NB,41.88683,-87.641334,68
X4_NB,41.888957,-87.641394,69
X4_NB,41.890518,-87.642038,70
X4_NB,41.894247,-87.645837,71
X4_NB,41.895693,-87.647316,72
X4_NB,41.896827,-87.648754,73
X4_NB,41.897434,-87.650192,74
X4_NB,41.898248,-87.652831,75
X4_NB,41.899083,-87.65665,76
X4_NB,41.900265,-87.658753,77
X4_NB,41.901606,-87.659869,78
X4_NB,41.903426,-87.660335,79
X4_NB,41.905727,-87.66047,80
X4_NB,41.907036,-87.660985,81
X4_NB,41.910198,-87.663774,82
X4_NB,41.917096,-87.668152,83
X4_NB,41.927889,-87.672787,84
X4_NB,41.930922,-87.673345,85
X4_NB,41.943859,-87.67369,86
X4_NB,41.946957,-87.673744,87
